"","V1","V2","V3","V4"
"1","No, abroad",NA,NA,NA
"2","No, abroad",NA,NA,NA
"3","No, abroad","TMA4125","TMA4115","TMA4105"
"4","No, other (specify in last question)","MA2401/6201",NA,NA
"5","Yes","MA0301","MA2401/6201","MA1202/6202"
"6","Yes","TMA4115","MA1202/6202","TMA4125"
"7","Yes","MA1202/6202","TMA4115","MA1103"
"8","Yes","MA1103","TMA4105","MA1102/6102"
"9","Yes","TMA4115","MA0301","TMA4105"
"10","Yes","MA1202/6202","MA0002","TMA4115"
"11","Yes","MA1202/6202","TMA4115","IMAT2011"
"12","Yes","TMA4115","TMA4105","MA1103"
"13","Yes","TMA4106","TMA4125","MA1102/6102"
"14","Yes","TMA4105","MA1202/6202","MA0301"
"15","Yes","TMA4115","MA0002","MA2401/6201"
"16","Yes","TMA4115","MA1102/6102","MA1202/6202"
"17","Yes","TMA4115","TMA4125","MA0301"
"18","Yes","MA1202/6202","TMA4115","MA0301"
"19","Yes","MA1103","TMA4105","TMA4115"
"20","Yes","MA0002","MA1102/6102","IMAT2031"
"21","Yes","MA0301","MA0002","IMAT2021"
"22","Yes","TMA4115","TMA4106","TMA4125"
"23","Yes","TMA4105","TMA4106","TMA4115"
"24","Yes","MA1102/6102","MA1103","MA1202/6202"
"25","Yes","TMA4125","MA0002","TMA4115"
"26","Yes","TMA4115","TMA4105","MA1102/6102"
"27","Yes","MA1202/6202",NA,NA
"28","Yes","TMA4125","TMA4115","MA0002"
"29","Yes","MA0301","MA0002","MA1202/6202"
"30","Yes","MA1202/6202","MA1102/6102","MA0301"
"31","Yes","TMA4115","MA0301","MA0002"
"32","Yes","TMA4106","TMA4105","MA0002"
"33","Yes","MA0002","MA1102/6102","TMA4125"
"34","Yes","TMA4125","MA1103","TMA4106"
"35","Yes","TMA4115","MA1202/6202","MA0002"
"36","Yes","TMA4115","MA0002","IMAT2031"
"37","Yes","TMA4125","TMA4105","MA1103"
"38","Yes","MA1102/6102","MA1202/6202","TMA4125"
"39","Yes","TMA4105","TMA4115","MA1103"
"40","Yes","MA1102/6102","TMA4115","MA1202/6202"
